edad,AniosDireccion,Gastocoche,Aniosempleo,Aniosresiden,ingres,ingres_pred,segmento
55.0,12.0,36.2,23.0,4.0,72.0,73.38974115302273,Alto
56.0,29.0,76.9,35.0,1.0,153.0,155.7882482070898,Muy Alto
28.0,9.0,13.7,4.0,3.0,28.0,27.35815053550669,Bajo
24.0,4.0,12.5,0.0,3.0,26.0,24.85369965862835,Muy Bajo
25.0,2.0,11.3,5.0,2.0,23.0,22.497097794325068,Muy Bajo
45.0,9.0,37.2,13.0,2.0,76.0,75.07380339426575,Alto
42.0,19.0,19.8,10.0,1.0,40.0,39.70043044923002,Medio
35.0,15.0,28.2,1.0,1.0,57.0,56.496283440209695,Alto
46.0,26.0,12.2,11.0,2.0,24.0,24.37599472263238,Muy Bajo
34.0,0.0,46.1,12.0,6.0,89.0,93.30648522437818,Alto
55.0,17.0,35.5,2.0,2.0,72.0,71.34979859362014,Alto
28.0,3.0,11.8,4.0,1.0,24.0,23.428278499679735,Muy Bajo
31.0,9.0,21.3,0.0,4.0,40.0,42.69814284121313,Medio
42.0,8.0,68.9,3.0,1.0,137.0,138.92501760560594,Muy Alto
35.0,8.0,34.1,9.0,3.0,70.0,68.7599117033511,Alto
52.0,24.0,77.9,16.0,2.0,155.5,157.437336213103,Muy Alto
21.0,1.0,18.6,0.0,6.0,37.0,37.37072352007883,Medio
32.0,0.0,13.7,2.0,2.0,28.0,27.29513636434477,Bajo
42.0,9.0,54.7,20.0,1.0,109.0,110.58956064428443,Muy Alto
40.0,12.0,58.3,19.0,4.0,117.0,118.00124161874965,Muy Alto
30.0,3.0,11.8,3.0,1.0,23.0,23.406067609951872,Muy Bajo
48.0,14.0,9.5,2.0,1.0,21.0,18.696262296367244,Muy Bajo
39.0,17.0,8.5,2.0,5.0,17.0,16.874539566004966,Muy Bajo
42.0,5.0,16.6,13.0,4.0,34.0,33.5174496455993,Bajo
45.0,12.0,57.4,27.0,5.0,115.0,116.42646041180086,Muy Alto
51.0,10.0,23.0,9.0,3.0,47.0,46.3034305921621,Medio
39.0,9.0,16.3,1.0,4.0,33.0,32.61026740758562,Bajo
49.0,29.0,68.4,14.0,1.0,135.0,138.0918273307938,Muy Alto
52.0,20.0,74.9,35.0,1.0,155.5,151.7753109838564,Muy Alto
53.0,29.0,19.9,9.0,2.0,41.0,39.90095377343533,Medio
34.0,10.0,10.0,0.0,1.0,20.0,19.667942398899584,Muy Bajo
47.0,6.0,11.4,7.0,2.0,22.0,22.74460044558358,Muy Bajo
58.0,2.0,29.7,1.0,1.0,60.0,59.598607734760066,Alto
25.0,0.0,28.4,4.0,5.0,58.0,57.24499936567168,Alto
57.0,28.0,45.5,25.0,4.0,92.0,92.19037637112584,Alto
30.0,7.0,10.5,4.0,2.0,21.0,20.83802043943425,Muy Bajo
21.0,0.0,6.3,0.0,2.0,13.0,12.268441459948235,Muy Bajo
24.0,5.0,11.8,2.0,1.0,24.0,23.370598734821062,Muy Bajo
56.0,7.0,77.9,30.0,1.0,155.5,157.7827282191987,Muy Alto
24.0,2.0,9.6,0.0,1.0,19.0,18.884382814480393,Muy Bajo
41.0,13.0,28.6,17.0,1.0,59.0,57.69371710687005,Alto
57.0,30.0,77.9,35.5,3.0,155.5,157.92970148039205,Muy Alto
32.0,2.0,15.7,10.0,6.0,32.0,31.741309219463766,Bajo
24.0,5.0,17.4,0.0,1.0,35.0,34.65414768577499,Bajo
49.0,12.0,17.3,4.0,3.0,35.0,34.64362247962314,Bajo
21.0,0.0,11.0,0.0,2.0,22.0,21.778024833564153,Muy Bajo
33.0,12.0,19.4,8.0,5.0,39.0,39.08600160506685,Medio
56.0,12.0,67.2,19.0,1.0,134.0,135.8544880798865,Muy Alto
54.0,16.0,51.2,28.0,6.0,103.0,103.95000930570035,Muy Alto
44.0,8.0,75.2,11.0,2.0,155.5,151.91616128068733,Muy Alto
20.0,1.0,9.5,0.0,2.0,20.0,18.738369943856068,Muy Bajo
47.0,15.0,59.8,26.0,1.0,118.0,121.02857775272139,Muy Alto
48.0,15.0,38.0,18.0,1.0,78.0,76.73287270568761,Alto
25.0,2.0,33.5,0.0,3.0,68.0,67.35204127001381,Alto
52.0,13.0,13.4,10.0,1.0,27.0,26.781896065273983,Bajo
38.0,0.0,9.2,1.0,2.0,19.0,18.170601916755647,Muy Bajo
65.0,5.0,10.1,10.0,2.0,20.0,20.20053528000438,Muy Bajo
28.0,2.0,15.6,0.0,2.0,31.0,31.081756261160614,Bajo
51.0,28.0,25.5,9.0,4.0,51.0,51.34402131933236,Medio
61.0,34.0,41.5,18.0,2.0,84.0,83.80118599882485,Alto
46.0,10.0,66.6,16.0,3.0,133.0,134.68131003794488,Muy Alto
43.0,8.0,54.6,20.0,2.0,109.0,110.44679364050151,Muy Alto
28.0,7.0,12.5,2.0,1.0,24.0,24.781451757822868,Muy Bajo
39.0,6.0,28.6,12.0,1.0,57.0,57.603098672409686,Alto
37.0,16.0,11.3,7.0,2.0,24.0,22.495454158476605,Muy Bajo
59.0,35.0,15.9,0.0,2.0,32.0,31.575809444464547,Bajo
55.0,29.0,31.5,10.0,1.0,65.0,63.34133936420374,Alto
51.0,20.0,35.6,8.0,2.0,70.0,71.67849198238935,Alto
48.0,28.0,65.9,11.0,2.0,155.5,133.02127680350264,Muy Alto
40.0,4.0,35.1,6.0,3.0,71.0,70.73207466912018,Alto
28.0,3.0,17.3,6.0,1.0,35.0,34.60353283535063,Bajo
39.0,16.0,44.0,21.0,6.0,85.0,89.20783464779004,Alto
30.0,0.0,9.7,3.0,4.0,20.0,19.33385097796453,Muy Bajo
40.0,5.0,16.4,15.0,4.0,33.0,33.158506649510066,Bajo
55.0,18.0,17.2,2.0,1.0,35.0,34.26420752087071,Bajo
48.0,0.0,25.2,11.0,4.0,50.0,50.89500196712755,Medio
48.0,4.0,74.1,22.0,4.0,155.5,150.07760776915663,Muy Alto
49.0,19.0,44.7,25.0,2.0,89.0,90.493055018586,Alto
56.0,34.0,64.9,35.0,1.0,155.5,131.48829937405642,Muy Alto
44.0,22.0,27.3,21.0,1.0,54.0,55.12310058494765,Alto
43.0,12.0,32.9,15.0,2.0,68.0,66.40716949372018,Alto
61.0,12.0,60.4,5.0,3.0,117.0,121.87982464817634,Muy Alto
37.0,18.0,14.5,4.0,1.0,29.0,28.83658872236985,Bajo
29.0,2.0,12.5,10.0,2.0,25.0,25.045219403809533,Muy Bajo
30.0,10.0,13.1,3.0,4.0,27.0,26.172801064467137,Bajo
48.0,7.0,65.5,20.0,1.0,129.0,132.45332888615334,Muy Alto
51.0,24.0,70.6,32.0,2.0,140.0,143.04263085988984,Muy Alto
40.0,15.0,29.5,12.0,2.0,57.0,59.44332428775103,Alto
66.0,34.0,15.5,4.0,4.0,30.0,30.978862828088005,Bajo
61.0,18.0,11.3,27.0,3.0,23.0,23.028037534908613,Muy Bajo
61.0,6.0,32.0,25.0,2.0,64.0,64.85715672409674,Alto
32.0,10.0,12.2,5.0,6.0,26.0,24.50990000338815,Muy Bajo
25.0,6.0,13.4,1.0,1.0,27.0,26.581011350748803,Bajo
47.0,1.0,13.7,8.0,5.0,28.0,27.606546338710974,Bajo
59.0,18.0,76.8,22.0,2.0,155.5,155.3814824682892,Muy Alto
25.0,5.0,13.8,2.0,3.0,27.0,27.527645300527094,Bajo
63.0,31.0,73.0,35.5,2.0,155.5,147.96043464071474,Muy Alto
41.0,8.0,23.9,14.0,2.0,49.0,48.18865060476376,Medio
66.0,24.0,14.3,1.0,1.0,30.0,28.35603012300522,Bajo
20.0,1.0,17.5,0.0,1.0,36.0,34.87001175035597,Bajo
47.0,21.0,31.2,5.0,3.0,62.0,62.75362967486219,Alto
42.0,9.0,24.5,12.0,3.0,49.0,49.40712145758065,Medio
35.0,5.0,24.3,9.0,4.0,49.0,48.998398694002425,Medio
24.0,2.0,11.9,1.0,1.0,23.0,23.561517957182406,Muy Bajo
22.0,3.0,11.5,0.0,1.0,23.0,22.723351830190012,Muy Bajo
32.0,12.0,29.8,5.0,4.0,59.0,60.002423996183516,Alto
50.0,20.0,29.2,8.0,2.0,58.0,58.72862289601216,Alto
44.0,8.0,23.2,18.0,2.0,46.0,46.868314142740985,Medio
32.0,12.0,15.4,1.0,2.0,31.0,30.662876076533276,Bajo
65.0,38.0,20.9,10.0,1.0,40.0,41.86439492391053,Medio
47.0,21.0,77.9,21.0,2.0,155.5,157.56373342626878,Muy Alto
42.0,5.0,25.4,6.0,1.0,53.0,50.99341311645181,Medio
48.0,29.0,72.7,14.0,1.0,144.0,146.79143528647836,Muy Alto
29.0,4.0,10.9,0.0,1.0,22.0,21.509874377695073,Muy Bajo
36.0,3.0,20.2,0.0,2.0,43.0,40.3901691613537,Medio
34.0,15.0,11.4,4.0,1.0,23.0,22.57445970458632,Muy Bajo
41.0,22.0,34.3,0.0,2.0,68.0,68.84555146370445,Alto
26.0,6.0,20.9,0.0,3.0,41.0,41.84278454273243,Medio
25.0,6.0,11.5,0.0,2.0,23.0,22.768085537371082,Muy Bajo
53.0,23.0,70.9,29.0,1.0,145.0,143.52954539512254,Muy Alto
32.0,1.0,16.8,2.0,2.0,33.0,33.56338246048012,Bajo
46.0,7.0,40.5,14.0,3.0,83.0,81.8378510049616,Alto
44.0,5.0,19.2,17.0,6.0,39.0,38.98317169737593,Medio
39.0,17.0,20.6,5.0,1.0,42.0,41.20765383438581,Medio
39.0,14.0,22.3,11.0,2.0,43.0,44.855325775011636,Medio
40.0,0.0,18.9,2.0,1.0,38.0,37.76668784584953,Medio
25.0,4.0,28.4,2.0,1.0,59.0,56.96231935678453,Alto
29.0,2.0,28.7,6.0,4.0,57.0,57.83866153227807,Alto
23.0,0.0,11.8,0.0,1.0,24.0,23.3430925846656,Muy Bajo
48.0,25.0,22.7,11.0,1.0,45.0,45.571256203616294,Medio
24.0,5.0,10.6,0.0,1.0,22.0,20.895601528203024,Muy Bajo
59.0,24.0,14.5,5.0,3.0,30.0,28.95995214708896,Bajo
31.0,2.0,15.1,3.0,4.0,30.0,30.25233985447741,Bajo
70.0,23.0,10.3,21.0,1.0,21.0,20.73958139936477,Muy Bajo
37.0,15.0,24.7,5.0,6.0,51.0,49.7844295166834,Medio
59.0,15.0,21.0,8.0,4.0,43.0,42.2732051084482,Medio
38.0,8.0,15.2,0.0,2.0,30.0,30.254727954910365,Bajo
56.0,35.0,18.1,5.0,1.0,37.0,36.08781936701743,Bajo
48.0,19.0,11.4,7.0,2.0,23.0,22.692829728983472,Muy Bajo
28.0,2.0,7.9,0.0,3.0,16.0,15.557109138083003,Muy Bajo
20.0,0.0,9.6,1.0,6.0,19.0,19.18777537973453,Muy Bajo
68.0,23.0,10.7,24.0,1.0,22.0,21.618137006584554,Muy Bajo
26.0,2.0,18.6,1.0,1.0,38.0,37.119030900350175,Medio
29.0,4.0,37.3,0.0,4.0,74.0,75.0900557731405,Alto
23.0,3.0,6.4,1.0,4.0,13.0,12.593249876127452,Muy Bajo
61.0,37.0,20.2,21.0,1.0,41.0,40.70811120278914,Medio
39.0,12.0,25.6,6.0,1.0,48.0,51.36790262403013,Medio
47.0,13.0,77.9,5.0,3.0,155.5,157.2747271214258,Muy Alto
36.0,2.0,20.4,8.0,1.0,40.0,40.93205538981778,Medio
61.0,17.0,73.4,35.5,1.0,155.5,148.77003164297673,Muy Alto
32.0,1.0,35.4,9.0,2.0,71.0,71.36161748791329,Alto
28.0,0.0,14.4,5.0,4.0,30.0,28.88915447777275,Bajo
66.0,38.0,19.9,10.0,2.0,42.0,39.89661157063241,Medio
35.0,9.0,25.4,14.0,2.0,51.0,51.215696682437176,Medio
55.0,23.0,67.7,23.0,4.0,155.5,137.07982762085172,Muy Alto
47.0,27.0,60.4,20.0,1.0,122.0,122.05312411003933,Muy Alto
34.0,0.0,19.6,7.0,5.0,38.0,39.51619225499228,Medio
29.0,0.0,34.2,10.0,1.0,67.0,68.90434968505082,Alto
36.0,5.0,15.6,0.0,3.0,31.0,31.1297358351831,Bajo
38.0,4.0,25.9,7.0,4.0,51.0,52.194665018658974,Medio
33.0,10.0,17.3,2.0,5.0,35.0,34.70404800078088,Bajo
46.0,12.0,42.7,23.0,2.0,88.0,86.42568389733538,Alto
29.0,5.0,30.4,2.0,1.0,60.0,61.00751497384461,Alto
38.0,7.0,25.0,2.0,6.0,53.0,50.353804057907396,Medio
38.0,1.0,20.5,6.0,1.0,42.0,41.09269912399459,Medio
39.0,1.0,14.3,7.0,2.0,29.0,28.627183827861163,Bajo
34.0,3.0,31.0,2.0,6.0,62.0,62.507230229793464,Alto
58.0,21.0,22.2,0.0,2.0,46.0,44.37850081216113,Medio
29.0,2.0,15.4,12.0,2.0,31.0,30.95985314982056,Bajo
64.0,16.0,8.1,8.0,1.0,16.0,16.006998034619,Muy Bajo
41.0,12.0,18.2,0.0,2.0,36.0,36.310493112324785,Bajo
44.0,24.0,11.9,1.0,2.0,25.0,23.540673926285873,Muy Bajo
60.0,38.0,40.3,28.0,2.0,82.0,81.59152125949836,Alto
32.0,7.0,12.7,4.0,2.0,25.0,25.290613131267627,Bajo
35.0,7.0,18.6,9.0,1.0,37.0,37.292785856238496,Medio
58.0,19.0,9.6,3.0,2.0,19.0,18.963316416274818,Muy Bajo
37.0,15.0,15.0,6.0,1.0,30.0,29.907361898687547,Bajo
63.0,28.0,77.9,28.0,2.0,155.5,157.71045876081396,Muy Alto
22.0,0.0,12.1,0.0,4.0,25.0,24.11408734900331,Muy Bajo
66.0,29.0,34.8,20.0,3.0,72.0,70.37028032306688,Alto
26.0,1.0,9.4,0.0,1.0,19.0,18.485050338163774,Muy Bajo
44.0,13.0,51.0,11.0,1.0,104.0,102.87687890371947,Muy Alto
41.0,9.0,12.4,2.0,1.0,25.0,24.579494852013116,Muy Bajo
26.0,7.0,7.6,0.0,3.0,15.0,14.928654611782454,Muy Bajo
48.0,27.0,74.6,20.0,1.0,155.5,150.78485496539614,Muy Alto
